"issue_key","spot_id","comment"
WEB-240260,552190,"issue found https://kaffeinatedwebster.com/-events https://kaffeinatedwebster.com/-catering https://kaffeinatedwebster.com/-drink-menu https://kaffeinatedwebster.com/-food-menu https://kaffeinatedwebster.com/-specials https://kaffeinatedwebster.com/-party https://kaffeinatedwebster.com/-reservations https://tmt.spotapps.co/job-listings?spot_id=552190"
WEB-240259,555390,"issue found https://kaffeinatedrim.com/-catering https://kaffeinatedrim.com/-food-menu https://kaffeinatedrim.com/-specials https://kaffeinatedrim.com/-party https://kaffeinatedrim.com/-events https://kaffeinatedrim.com/-drink-menu https://tmt.spotapps.co/job-listings?spot_id=555390"
WEB-240258,555391,"issue found https://kaffeinatedblanco.com/-party https://kaffeinatedblanco.com/-specials https://kaffeinatedblanco.com/-catering https://kaffeinatedblanco.com/-events https://kaffeinatedblanco.com/-drink-menu https://kaffeinatedblanco.com/-reservations https://kaffeinatedblanco.com/-food-menu https://tmt.spotapps.co/job-listings?spot_id=555391 https://www.clover.com/online-ordering/kaffeinated-crepescoffe-san-antonio"
WEB-240257,552189,"no issues found"
WEB-239975,395153,"no issues found"
WEB-239972,482097,"no issues found"
WEB-239967,546882,"no issues found"
WEB-239966,302084,"no issues found"
WEB-239962,180267,"no issues found"
WEB-239961,153175,"no issues found"
WEB-239960,6361,"no issues found"
WEB-239959,112021,"no issues found"
WEB-239957,175294,"no issues found"
WEB-239956,606283,"no issues found"
WEB-239949,593769,"no issues found"
WEB-239948,514464,"no issues found"
WEB-239946,58890,"skipped due to missing spot ID or website URL"
WEB-239945,31398,"skipped due to missing spot ID or website URL"
WEB-239944,569250,"no issues found"
WEB-239932,138832,"skipped due to missing spot ID or website URL"
WEB-239869,49640,"skipped due to missing spot ID or website URL"
WEB-239867,88316,"skipped due to missing spot ID or website URL"
WEB-239830,226962,"no issues found"
WEB-239829,565329,"no issues found"
WEB-239554,563412,"no issues found"
WEB-239553,563411,"no issues found"
WEB-239552,395272,"no issues found"
WEB-239551,563413,"no issues found"
WEB-239550,563410,"no issues found"
WEB-239548,91091,"no issues found"
WEB-239547,542519,"no issues found"
WEB-239545,558721,"no issues found"
WEB-239544,213739,"no issues found"
WEB-239542,112200,"no issues found"
WEB-239540,306412,"no issues found"
WEB-239539,573045,"no issues found"
WEB-239538,107955,"no issues found"
WEB-239536,29139,"no issues found"
WEB-239535,144883,"no issues found"
WEB-239534,428163,"no issues found"
WEB-239533,377618,"no issues found"
WEB-239530,578490,"skipped due to missing spot ID or website URL"
WEB-239529,419015,"no issues found"
WEB-239528,613173,"no issues found"
WEB-239526,525459,"no issues found"
WEB-239525,497503,"no issues found"
WEB-239524,88106,"no issues found"
WEB-239523,231571,"no issues found"
WEB-239521,300234,"no issues found"
WEB-239519,620136,"no issues found"
WEB-239513,482795,"no issues found"
WEB-239511,98887,"no issues found"
WEB-239510,74790,"no issues found"
WEB-239509,137329,"no issues found"
WEB-239505,277571,"skipped due to missing spot ID or website URL"
WEB-239503,,"skipped due to missing spot ID or website URL"
WEB-239501,531899,"skipped due to missing spot ID or website URL"
WEB-239500,531897,"skipped due to missing spot ID or website URL"
WEB-239498,558660,"no issues found"
WEB-239473,329885,"no issues found"
WEB-239390,599379,"no issues found"
WEB-239389,252285,"no issues found"
WEB-239386,580627,"no issues found"
WEB-239385,536779,"no issues found"
WEB-239383,164545,"no issues found"
WEB-239382,124351,"no issues found"
WEB-239381,139360,"no issues found"
WEB-239380,598852,"no issues found"
WEB-239379,330957,"no issues found"
WEB-239063,419063,"no issues found"
WEB-239062,377630,"no issues found"
WEB-239060,238986,"no issues found"
WEB-239056,31172,"no issues found"
WEB-239055,232325,"no issues found"
WEB-239054,395251,"no issues found"
WEB-239053,605022,"failed to fetch homepage HTML"
WEB-239051,513998,"no issues found"
WEB-239050,558105,"no issues found"
WEB-239048,,"skipped due to missing spot ID or website URL"
WEB-239046,,"skipped due to missing spot ID or website URL"
WEB-239044,614724,"no issues found"
WEB-239043,558718,"no issues found"
WEB-239039,603938,"no issues found"
WEB-239038,13329,"no issues found"
WEB-239034,295897,"no issues found"
WEB-238931,586476,"no issues found"
WEB-238930,400284,"no issues found"
WEB-238928,582352,"no issues found"
WEB-238657,578590,"skipped due to missing spot ID or website URL"
WEB-238656,600534,"no issues found"
WEB-238653,568645,"no issues found"
WEB-238652,93172,"issue found https://www.almagauchausa.com/events https://www.almagauchausa.com/-party https://www.almagauchausa.com/drinks https://www.almagauchausa.com/menu https://www.almagauchausa.com/specials https://www.almagauchausa.com/-catering"
WEB-238650,116529,"no issues found"
WEB-238649,363825,"failed to fetch homepage HTML"
WEB-238648,410268,"no issues found"
WEB-238646,365674,"failed to fetch homepage HTML"
WEB-238645,92304,"failed to fetch homepage HTML"
WEB-238643,577962,"no issues found"
WEB-238642,539550,"issue found https://bumblebrewsplaycafe.com/events https://bumblebrewsplaycafe.com/menu https://book.squareup.com/appointments/1n5b297ua7j7gz/location/LMB6RXSJS9C9V/services https://bumble-brews.square.site/?owg-fulfillment=pickup&fulfillment=PICKUP&location=11ee685d7281d88a91283cecef6dbab4&location_id=LMB6RXSJS9C9V&rwg_token=ACgRB3du8vn2JqiI8BTyqXF8xISrCx7YBLzekEelcvgqxuoGyrPdYOsxMaBP5UUZVMD0e_hR1382gnYbLR49L5dHzEEXaxzPSQKEOqAoPKrAsFqwd1spPDM%3D https://book.squareup.com/appointments/1n5b297ua7j7gz/location/LMB6RXSJS9C9V/services"
WEB-238637,486519,"issue found https://pizzaandgyroparty.com/drink-menu https://pizzaandgyroparty.com/-party https://pizzaandgyroparty.com/food-menu https://pizzaandgyroparty.com/-reservations https://pizzaandgyroparty.com/-catering https://tmt.spotapps.co/job-listings?spot_id=486519"
WEB-238636,579546,"skipped due to missing spot ID or website URL"
WEB-238635,170178,"issue found https://saigonparisbistrofl.com/specials https://saigonparisbistrofl.com/reservations https://saigonparisbistrofl.com/party https://saigonparisbistrofl.com/drink-menu https://saigonparisbistrofl.com/food-menu https://saigonparisbistrofl.com/catering"
WEB-238634,167188,"skipped due to missing spot ID or website URL"
WEB-238632,626672,"skipped due to missing spot ID or website URL"
WEB-238626,504226,"no issues found"
WEB-238625,110146,"skipped due to missing spot ID or website URL"
WEB-238621,81341,"issue found https://lorettandthebutcher.com/events https://weborder.swipeby.net/lorettaandthebutcher/app/home https://lorettandthebutcher.com/specials https://lorettandthebutcher.com/-party https://lorettandthebutcher.com/drink-menu https://lorettandthebutcher.com/food-menu https://lorettandthebutcher.com/-reservations https://tmt.spotapps.co/job-listings?spot_id=81341 https://lorettandthebutcher.com/-catering"
WEB-238618,94127,"no issues found"
WEB-238615,354972,"no issues found"
WEB-238614,585948,"skipped due to missing spot ID or website URL"
WEB-238285,119958,"skipped due to missing spot ID or website URL"
WEB-238247,203487,"no issues found"
WEB-238205,35003,"no issues found"
WEB-238204,105893,"no issues found"
WEB-238201,299306,"no issues found"
WEB-238200,35227,"no issues found"
WEB-238199,583209,"no issues found"
WEB-238198,619938,"skipped due to missing spot ID or website URL"
WEB-238197,83212,"issue found https://sisenor.us/food-menu https://sisenor.us/-party https://sisenor.us/drink-menu https://sisenor.us/specials https://sisenor.us/events https://sisenor.us/-catering https://sisenor.us/-reservations https://tmt.spotapps.co/job-listings?spot_id=83212 https://order.toasttab.com/online/si-senior-16800-lorain-avenue"
WEB-238195,484343,"no issues found"
WEB-238193,484342,"no issues found"
WEB-238191,616044,"no issues found"
WEB-238190,78985,"no issues found"
WEB-238185,283734,"no issues found"
WEB-238184,287861,"no issues found"
WEB-238182,133449,"no issues found"
WEB-238181,85698,"no issues found"
WEB-238180,510279,"no issues found"
WEB-238176,568489,"no issues found"
WEB-238175,602414,"no issues found"
WEB-238173,579184,"no issues found"
WEB-238172,315414,"no issues found"
WEB-238171,,"skipped due to missing spot ID or website URL"
WEB-238170,448800,"no issues found"
WEB-238168,139370,"no issues found"
WEB-238163,60513,"no issues found"
WEB-238162,483047,"no issues found"
WEB-238156,518991,"issue found https://themiragebanquets.com/-reservations"
WEB-238145,577500,"issue found https://wesleychapel.milkandhoneyatl.com/party https://tmt.spotapps.co/job-listings?spot_id=577500 https://wesleychapel.milkandhoneyatl.com/specials https://wesleychapel.milkandhoneyatl.com/drink-menu https://wesleychapel.milkandhoneyatl.com/events https://wesleychapel.milkandhoneyatl.com/food-menu"
WEB-238067,247435,"no issues found"
WEB-238064,577566,"no issues found"
WEB-238062,55869,"skipped due to missing spot ID or website URL"
WEB-237798,283782,"no issues found"
WEB-237796,119199,"no issues found"
WEB-237795,581593,"no issues found"
WEB-237794,613470,"no issues found"
WEB-237793,592746,"no issues found"
WEB-237792,542332,"no issues found"
WEB-237790,551551,"no issues found"
WEB-237789,408604,"no issues found"
WEB-237787,546114,"no issues found"
WEB-237784,138139,"skipped due to missing spot ID or website URL"
WEB-237783,543216,"no issues found"
WEB-237782,595056,"skipped due to missing spot ID or website URL"
WEB-237780,10121,"skipped due to missing spot ID or website URL"
WEB-237778,572079,"no issues found"
WEB-237775,573309,"no issues found"
WEB-237774,261503,"no issues found"
WEB-237770,614464,"issue found https://charliespizzanyc.com/catering https://charliespizzanyc.com/food-menu https://tmt.spotapps.co/job-listings?spot_id=614464 http://charliespizzanyc.com/specials https://charliespizzanyc.com/events https://charliespizzanyc.com/drink-menu https://charliespizzanyc.com/reservations"
WEB-237768,585849,"no issues found"
WEB-237765,575421,"no issues found"
WEB-237760,70321,"no issues found"
WEB-237754,123289,"skipped due to missing spot ID or website URL"
WEB-237752,542718,"skipped due to missing spot ID or website URL"
